interest,canonical,topic
workload management,,Benchmark
unsupervised learning,,Data
energy-efficiency,,Energy
distributed control,,
software optimization,,
single and multi-criterion optimization,,
graphics and imaging,,
ngn,,
soft tissue and cardiovascular mechanics,,
data-driven human behavior analysis,,
systems support for the iot,,
software bloat,,
low-power computing,,Energy
string algorithm,,
data reduction,,
data science systems,,Data
search based software engineering,,
network architecture,,Architecture
software rejuvenation,,
transport in nanoporous materils,,
performance modeling/analysis,,Benchmark
computational journalism,,
memory management (garbage collection),,OS
software tailoring,,
performance modeling and design of computer systems,,Benchmark
biomedizintechnik,,
structural biology,,
systems engineering,,
web-based data management,,
online advertising,,
data curation,,
performance optimization,,
software architecture and modelling,,
smartphone,,
low power sensing,,
cyber physical systems and iot,,
statistical signal processing,,
temporal and spatial data,,
intelligent applications,,
modularity,,
proof-carrying code,,
overlay networks.,,
elektronische fahrerassistenzsysteme,,
external-memory algorithms,,
scalable algorithms,,
multigrid,,
energy-efficient computing systems,,Energy
computer hardware,,Architecture
programming education,,
low power computer architecture,,Energy
big data processing on parallel platforms,,Data
parallel algortihms,,Concurrency
internet content distribution & p2p,,
graph database,,DB
rough sets,,
sensor systems,,
uml,,
multigrid methods,,
systems & networking,,Network
web data,,
cache architectures,,Architecture
boundary element methods,,
data profiling,,
stochastic modeling,,
libraries,,
parallel numerical algorithms,,HPC
numerical linear algebra algorithms and software,,HPC
machine learning acceleration,,Data
mycology,,
operating & distributed systems,,OS
teoría de grafos,,
embedded,,
platform economics,,
memory consistency models,,Concurrency
quantum optics,,
security in internet of things,,Security
data,,Data
concurrency and parallelism,,Concurrency
theoretical ecology,,
resource management for machine learning,,OS
ingegneria del software,,
protein structure prediction,,
big data for bioinformatics,,Data
multicore systems,,Architecture
algorithmic skeletons,,
graph data management and mining,,
design automation,,
network characterization,,Benchmark
algorithmic linear algebra,,
resource optimization,,OS
external memory,,
operating systems and distributed systems,,OS
future internet,,
concurrent data structures,,
software-defined network security,,Security
semistructured data,,
human genetics,,
internet techology,,
trust and reputation management,,Security
computer aided design of vlsi circui,,Architecture
pervasive systems,,
computer systems benchmarking,,Benchmark
resource provisioning,,
multi-level of parallelism,,Concurrency
high-level programming models,,
tâches,,
decision sciences,,
privacy-preserving data publication,,Security
augmented and virtual reality and human computer interfaces,,
mining software repositories,,
software-defined networks security,,Security
aide à la décision multicritère en temps,,
cooling techniques,,
embedded and ubiquitous systems,,
electrical networks,,
network measurements,,Benchmark
distributed constraints,,
distributed architectures,,Concurrency
omni-path,,
optical image processing,,
machine virtualization,,VM
component-based software engineering,,
infiniband,,Network
knowledge management,,
databases and big data analytics,,DB
supercomputing for artificial intelligence,,HPC
algorithmic aspects of reliable and secure distributed systems,,
queueing,,
search computing,,
cluster scheduling,,OS
novel applications in smart city,,
active queue management,,
rarefied gas flow,,
smart manufacturing,,
flexibility,,
latent growth modeling,,
bayesian inference,,
#databases,,DB
wsn...,,
database and data management,,DB
networking hardware,,Architecture
load balance,,OS
network models,,Network
reversible computing.,,Architecture
automated planning,,
variability engineering,,
program analysis and optimizations,,
计算机系统结构,,
data center & enterprise networ,,Network
scaling relational databases,,DB
large scale processing,,
service network,,Network
heterogeneous architecture,,GPGPU
hw/sw-codesign,,Architecture
cyber-threat information sharing,,Security
network security.,,Security
graph processing system,,Data
memory allocation,,OS
high-performance data processing,,HPC
performance modelling,,Benchmark
big data computing,,Data
power electronics,,
nonmonotonic reasoning,,
in transit,,
video analytics,,
process modelling,,
high-performance web crawling,,
stochastische besliskunde,,
software evolution and maintenance,,
design for low power,,Energy
caches,,Architecture
stockage,,
automated negotiation,,
hardware/software interface,,
mechanism design,,
network calculus,,Network
network theory,,Network
context awareness and personalization,,
sparse data structures,,
adaptive query processing,,
pattern recognition,,
multimedia system,,
big-data analytics,,Data
memory subsystems,,Architecture
multimedia systems,,
fuzzy sets,,
flexible communication,,Network
online database utilities,,DB
mobile web performance,,
graph pattern matching,,
cloud computing/storage,,Cloud
low-power systems,,Energy
cloud data center networks,,Network
industrial co,,
shared-memory architectures,,Concurrency
domain decomposition,,
物理 磁学 超薄膜 微磁学,,
sharing economy,,
datacenter solutions,,
augmented reality,,
configurability,,
correctness verification,,
parallel data index,,
collaborative applications,,
graph analysis,,
signal & image processing,,
image guided surgery,,
analog circuits,,Architecture
web technologies,,
k-wave,,
tracing,,
clusters,,Cloud
cad/cam,,
databases and graphs,,DB
crypto currencies,,Security
data center network,,Network
dynamic-analysis tools,,
heathcare,,
machine learning.,,Data
distributed systems security,,Security
storage systems and data accessing,,Storage
silicene tight binding,,
neural computing,,
software process,,
nano photonic,,
resource efficiency,,OS
algorithm design and analysis,,
spatiotemporal databases,,
java virtual machine,,Compilers
data security and privacy,,Security
resource-constrained perception,,
cyber-security,,Security
multimedia systems and networks,,
parameterized complexity,,
multivariate statistics,,
sequencing informatics,,
data center cooling,,Energy
data cleaning  & integration,,Data
biological computation,,
feedback control,,
graph queries,,
data center power and thermal management,,Energy
evolutionary robotics,,
emerging non-volatile memory,,Storage
query rewriting,,DB
multimedia communication,,
engineering analytics,,
conceptual modelling,,
sdn/nfv & virtualization,,Network
exploratory data analysis,,Data
i/o forwarding,,Storage
collective intelligence,,
super computer,,HPC
routing protocols,,Network
kansrekening,,
workload optimization,,Benchmark
networks and systems,,
hidden graph,,
databases on modern hardware,,DB
bargaining theory,,
programmable logic controllers,,
digital libraries and archives,,
power system,,Energy
climate and weather models,,HPC
distributed and shared architectures,,Concurrency
ic design,,Architecture
speculative execution,,Architecture
cyber security and privacy,,Security
low power sensors,,Energy
query tuning,,DB
wireless sensor networks/rfid,,Network
biological networks,,
high speed networks,,Network
performance evaluation and optimization,,Benchmark
software quality,,
program comprehension,,
vlsi architecture,,Architecture
big data privacy,,Security
delay-tolerant networks,,Network
communication libraries,,Network
epigenomics,,
emotion,,
mobile network,,Network
managed runtime environments,,Compilers
automated software developement,,Compilers
software-defined networking (sdn),Software-Defined Networking,Network
antennas and propagation,,
wireless- communication- signal processing-full duplex- relay,,Network
neutron sensitivity of parallel computing units,,
mobile technologies,,
declarative languages,,Compilers
biophysics,,
join algorithms,,DB
crowd sourcing,,
parallel algorithms and applications,,Concurrency
approximation algoithms,,
networking architecture,,Architecture
parameter synthesis,,
automotive security,,Security
high performance networking,,Network
data security,,Security
multimedia communications,,Network
security protocols,,Security
computer architecture and microarchitecture,,Architecture
automatic parallelisation,,Concurrency
smartphone security,,Security
cosmology,,
software hardening,,
algorithms for in-database computations,,DB
stochastic modelling,,
web management,,
wsn,,
self-organizing systems,,
high-performance data mining,,Data
application resiliency,,
memory and storage systems,,Storage
future emerging technologies,,
distributed dependable systems,,Concurrency
non linear dynamics,,
string,,
asynchronous design,,Concurrency
multicore architectures,,Concurrency
program optimization,,
extreme scale computing,,HPC
performance analysis and modeling,,Benchmark
building automation,,Compilers
software/hardware systems,,Architecture
high dimensional data,,Data
memory,,Storage
data intensive systems,,Data
high voltage technology,,
parallel algorithms hardening,,Concurrency
modeling and analysis of probabilistic systems,,
concurrency and synchronization,,Concurrency
vlsi cad,,Architecture
botnet and malware detection,,Security
integrated circuits,,Architecture
computer hardware verification,,Architecture
bio-medical,,
algorithm engineering,,
context awareness,,
cache coherence and multiprocessor cache hierarchies,,Architecture
resource sharing,,OS
data visualization,,
near-data processing,,Data
fault tolerant control,,
parallel and distributed storage and file system,,Storage
pervasive data management,,
near-memory computing,,
mobile and cellular networks,,
computational sciences,,HPC
autoscaling,,
computer forensics,,Security
vlsi computer-aided design,,Architecture
network measurement and management,,Network
hpc (high performance computing),High-Performance Computing,HPC
cloud and datacenter design,,Cloud
parallel programming abstractions,,Compilers
selectivity estimation,,
geo-replication,,
reliable computing,,
bigdata,,Data
distributed sys.,Distributed Systems,Concurrency
digital preservation,,
non-functional properties,,
dynamic translation/optimization,,Compilers
computer architecture and mobile computing,,Architecture
distributed and grid systems,,Cloud
large scale graph analysis,,Data
information security & privacy,,Security
data-intensive software,,Data
parallel computers,,Architecture
algorithms in artificial intelligence and information systems,,
storage efficiency,,Storage
trust management,,
parallel storage/computing,,Concurrency
cloud federation,,Cloud
database workload management,,DB
shared memory,,Concurrency
process variations,,
programming languages and methods,,Compilers
virtual machine,Virtual Machines,VM
cloud databases,,DB
code tuning and optimization,,
program languages,Progamming Languages,Compilers
workflow,,
semantic web.,,
web programming,,
memory-driven computing,,
optical computing,,
sla,,
virtualization technologies,,VM
high-performance and reconfigurable computing,,HPC
graph query languages,,DB
cmos high speed i/o,,Concurrency
algorithms.,Algorithms,
customized acceleration,,
streaming data,,
threads,,Concurrency
robust optimization,,
android security,,Security
cryptanalysis,,Security
parallel runtimes,,OS
temporal logics,,
constraint solving,,
memory system and design,,Architecture
vulnerability detection,,Security
parallel data structures,,Concurrency
programming productivity in multi-core architecture,,Compilers
temporal logic,,
performance modeling and optimization,,Benchmark
software defined environments,,
smart energy systems,,Energy
phylogeny reconstruction,,
relaxed memory models,,Concurrency
network optimization,,Network
urban economics,,
optimization and security in systems software,,Security
domain-specific hardware generation and optimization tools,,Architecture
multimedia networking,,Network
manufacturing,,
supercomputer networks,,Network
cloud data storage,,Storage
ad hoc network routing,,Network
cyber physical systems for health care,,
applying engineering to biology,,
communication optimizations,,Network
multiprocessor,,Architecture
heterogeneous computer systems,,GPGPU
applied math,,
dynamic load balancing,,OS
fault-tolerant,,
compliance,,
cognitive radio network,,Network
trustworthy voting,,Security
electronic voting technology,,
lp,,
trustworthy computing,,Security
library os,,OS
heterogeneous runtime,,GPGPU
blockchain technology,,Security
cache-efficient algorithms,,Architecture
scalable data mining,,Data
quality prediction,,
image watermarking,,
intelligent agents,,
numerical algorithms,,
blockchains,,Security
autonomic systems,,
mobile health,,
graph data,,
embedded software,,
discrete event simulation,,
formal concept analysis,,
vm consolidation,,VM
data storage and memory,,Storage
geographic information systems,,
discrete algorithms,,
communication networks and network science,,Network
automated performance testing,,Benchmark
program tuning,,
circuit design,,Architecture
synthesis and customization,,
large-scale data analytics,,Data
high-performance system,,HPC
cluster management,,Cloud
malware analysis,,Security
cloud computation,Cloud Computing,Cloud
big graph analytics,,Data
refactoring,,
crytography,,Security
content delivery networks,,Network
indoor localization and mapping,,
highly configurable systems,,
resilient systems,,
spatial reasoning,,
trust,,Security
db/os co-design,,DB
multimedia computing,,
databases and the world wide web,,DB
geometry processing,,
parallel and distributed software & applications,,Concurrency
numerical solution of pdes,,HPC
data integration and cleaning,,
nfv/sdn,,Network
data citation,,
software dependability,,
electric machinery,,
datacenter networks,,Network
wearable devices,,
software development,,Compilers
computer newtorks,,Network
high performance and reliable programming systems,,
network and system security,,Security
data mining & processing,,Data
informatics,,
mobile and ubiquitous computing,,
anonymous communications,,Security
polystore dbms,,DB
sisteme distribuite,Distributed systems,Concurrency
computational logic,,
wireless sensor network security,,
power-aware computer architecture,,Architecture
cloud computing-internet measurement-video,,Benchmark
computer and system architecture,,Architecture
sw,,
operational analytics,,
optical information processing,,
revenue management and pricing,,
data center,,Cloud
computational collective intelligence,,
lattice boltzmann methods,,
multimedia databases,,DB
file system architecture and performance,,Storage
estadística computacional,,
ottawa,,
program representations,,
high performance distributed computing,,HPC
parallel architectures,,Architecture
fault-tolerant system,,
system optimization,,
emv,,
wireless health,,
privacy enhancing technologies,,Security
low power circuits and systems,,Energy
network traffic statistics,,Network
interactive data visualization,,
system design,,
mobile system,,
processor architecture,,Architecture
service-oriented business,,
cloud data provenance,,Cloud
kombinatoryka,,
design for predictability and performance,,
internet routing,,Network
confidentiality,,Security
compressive sensing,,
network verification,,Network
computing architectures,Computer Architecture,Architecture
hardware design languages,,Architecture
adsorption,,
content dissemination,,
energy optimization,,Energy
energy efficient electronics,,Energy
customized computing for big data applications,,Data
fault diagnosis,,
ims,,
large scale data analysis,,Data
geometric data structures,,
spatial data management,,
scientific data analysis,,HPC
automotive systems,,
low power computing,,Energy
computational biology (protein folding),,HPC
knowledge graph,,
mapreduce and big data processing,,Data
task scheduling,,OS
sparse linear solvers,,
two-phase flow,,
query optimization.,,DB
server design,,Architecture
application-aware design,,
energy/thermal/performance measurement techniques,,Benchmark
open source hardware,,Architecture
it-sicherheit,,
monitoring applications,,
performance evaluation tools,,Benchmark
computer achitecture,Computer Architecture,Architecture
parallel and grid computing,,Concurrency
power efficiency,,Energy
networked system,,Network
calcul haute performance,High-Performance Computing,HPC
operation system,,OS
data mining & machine learning,,Data
data integration and data cleaning,,Data
big-data,Big Data,Data
developing regions,,
computing education,,
memory system design,,Storage
data center systems,,Cloud
scalable data analysis,,
search,,
wearable and sensor computing,,
information security management,,Security
informatique,,
high speed networking,,Network
compiler runtime optimizations,,Compilers
distributed systems security and scalability: cryptocurrency protocols and distributed storage,,Security
interactive learning,,
big data workflows,,Data
cognitive radios,,
automated theorem proving,,
geometric modeling,,
cyber-physical systems security,,Security
cloud and grid computing,,Cloud
hardware virtualisation,,VM
hpc cloud,,HPC
survivability,,
distributed algorithms & complexity,,Concurrency
energy and performance optimizations,,Energy
robust control,,
software protection,,
cellular automata,,
mathematics of data,,
access methods,,
multi-core/many-core architectures,,Concurrency
computing infrastructures,,
parallel computing system software,,OS
low-power design and architecture,,Energy
soa,,
cloud computing & datacenter,,Cloud
patttern recognition,,
performance mode,,
high performance bigdata,,Data
low-power design,,Energy
data-center networking,,Network
development and programming,,
temporal databases,,DB
hpc i/o,,Storage
temporal point processes,,
heterogeneity,,
reconfigurable and fpga-based computing,,GPGPU
internet tools and performance,,Benchmark
3d acquisition,,
cloud control,,Cloud
software component,,
computer systems and architecture,,Architecture
flash storage,,Storage
adaptive distributed systems,,Concurrency
energy consumption modeling,,Energy
embedded and cyber-physical systems,,
scalable machine learning,,Data
efficient & resilient computer architecture,,Architecture
systems & infrastructure problems related to cloud services,,Cloud
data stream,,
sensors,,
systems and network modeling,,Network
energy harvesting and storage,,Energy
hardware architecture,,Architecture
mathematical programming,,
manycore,,Concurrency
software-defined storage,,Storage
computational genomics,,
#univhelsinkics,,
communication theory,,Network
cooperative control,,
nanotechnology,,
lightweight formal methods,,
virtual network,,VM
optimization problems,,
big data security,,Security
workflow management systems,,OS
• high performance computing,High-Performance Computing,HPC
performance architecture,,Architecture
ml architecture,,Data
hpc interconnects (routing+topologies),,Network
privacy-security-trust,,Security
reliability and fault tolerance,,
spin memories,,Architecture
capacity planning,,Cloud
computer system performance evaluation,,Benchmark
mobile processor design,,
manets,,
runtimes,,
distributed and parallel processing,,Concurrency
distributed computing theory: algorithms and lower bounds,,Concurrency
3d vlsi,,Architecture
data streaming,,
attack graph,,
data-parallel architectures,,Architecture
digital vlsi,,Architecture
reverse data management,,
data transformation,,Data
fault tolerance for high performance computing,,HPC
navigation and control,,
computer systems security,,Security
cryptology,,Security
parallel computer architecture and programmability,,Concurrency
applied optics,,
hardware and software for machine/deep learning,,Data
quality requirements,,
probabilistic modeling,,
hardware–software co-design,HW/SW Codesign,Architecture
uncertainty,,
large-scale multimedia retrieval,,
multicore processors,,Architecture
certain/uncertain graph database,,
3d stacked systems,,Architecture
workload cloning,,Benchmark
carleton university,,
automation,,
digital communication,,
low level software,,OS
ordonnancement,,
linked open data,,
parallel and distributed computer architectures,,Architecture
social networking,,
métodos estadísticos,,
intelligent systems,,
runtime monitoring,,OS
green supercomputing,,Energy
gpu algorithms,,GPGPU
high-performance memory systems,,Storage
network algorithms,,Network
dns poisoning,,Security
distributed systems and algorithms,,Concurrency
os security,,Security
coding theory applications,,
online education tools,,
memory mangement,,OS
database systems on modern hardware,,DB
failure detection and diagnosis in cloud systems,,Cloud
cooperative robotics,,
on-chip network,Network-On-Chip,Architecture
speichersysteme,,
versioning,,
learning technology,,
java,,Compilers
new hardware,,Architecture
vlsi testing,,Architecture
internet security,,Security
peer-to-peer networking,,Network
dynamic networks,,Network
protocols,,Network
motion planning,,
computer architecture at scale,,Architecture
online learning,,
metro ethernet networks,,
workflow management,,
rop,,
database physical design,,DB
geometry,,
reducing communication costs,,Network
soft sets,,
smart infrastructure,,
2d nanomaterials,,
smartphone energy management,,Energy
faul tolerance systems,Fault-Tolerance Systems,
green networking,,Energy
dynamic factor analysis,,
cognitive radio networks,,Network
distribute computing,,Concurrency
optimalisering,,
distributed data processing,,Concurrency
human computation,,
distributed and cloud computing,,Cloud
networks-on-chip,Network-On-Chip,Architecture
microprocessor,,Architecture
systematics,,
connected car,,
streaming algorithms,,
biological algorithms,,
data-centric workflow,,
medical informatics,,
agent systems,,
peer-to-peer replications,,
research scientist,,
big-data computing,,Data
data models,,
high-end applic,High-End Applications,
networking and systems,,Network
multi objective optimization,,
transportation economics,,
intermittent computation,,
pattern matching,,
cellular systems,,
high performance and data-intensive computing,,HPC
programming,,
computer and software systems,Systems,
optical communication,,
digital holography,,
gamification,,
computer systems performance evaluation,,Benchmark
system biology/physiology.,,
programming language theory,,Compilers
gene/species trees reconciliation,,
distributed and parallel computer,,Concurrency
computational and data-enabled science and engineering,,
embedded security,,
parallel and high-performance computing,,Concurrency
applied electromagnetics,,
incremental computation,,
sapienza university of rome,,
security in networks and systems,,Security
languages and tools,,Compilers
data management for machine learning,,Data
spin,,
ape100,,
system integration,,
human centered computing,,
datacenter resource management (power memory subsystem),,OS
ape,,
massive data algorithmics,,Data
hpc storage systems,,Storage
apelink,,
spatial-temporal,,
apenext,,
high performance computing (hpc),,HPC
apenet,,
autobahn,,
dram,,Architecture
model-driven development,,
lqcd,,
cloud & outsourcing security,,Security
emerging applications and architecture,,Architecture
humphrey@cs.virginia.edu,,
apemille,,
security in cyber-physical systems,,Security
cost and performance optimization,,
data intensive distributed computing,,Concurrency
"wireless networks (mesh, ad-hoc community networks)",,Network
design,,
emerging cloud/mobile platforms,,Cloud
everything else,,
space physics,,
data-streaming,,
計算機システム,,
robustness/security,,Security
numerical relativity,,
photonic network-on-chip,,
meta programming,,
energy-aware mpi,,Energy
arquitectura y tecnología de computadores,Computer Architecture,Architecture
large scale data processing,,Data
計算機アーキテクチャ,,
detection and estimation,,
heterogeneous memory system,,Architecture
computational network science,,Network
eresearch,,
e-infrastructure,,
spatial epidemiology,,
corporate networks,,Network
wireless ad hoc networks,,Network
remote sensing,,
redes de computadores,Computer Networks,Network
high performance software,,
synthesis,,
e-security,,
geographic information science,,
multi-agent systems,,
computational plasma physics,,
networks.,Networks,Network
スーパーコンピューティング,,
end-user programming,,
computational biology & bioinformatics,,
sustainable computing,,Energy
telecommunications,,Network
image reconstruction,,
e-everything,,
giscience,,
automatic performance analysis,,
and cyber physical systems,,
cyber-physical systems/internet-of-things,,
epidemiology,,
comptuer architecture,,Architecture
dataflow programming,,
robótica,,
school of earth sciences,,
research data management,,
scientific workflow,,
efficiency,,
astrophysics,,
高性能計算,,
scalable algorithms and sofwtare,,
high-performance computing for exascale systems,,HPC
software development tools,,Compilers
multiprocessor systems-on-chip,,Architecture
accelerator technologies,,GPGPU
performance models,,
energy analytics,,Energy
sensor web,,
space-time modeling,,
e-research,,
logic design,,
spatial agent-based modeling,,
parallel runtime systems,,Concurrency
accelerator physics,,
spare matrices,,
multi-valued logic,,
data analysis and mining,,Data
compilers and code generation,,Compilers
design patterns,,
ocean modeling,,
radio telescope,,
e-health,,
memory and storage technology,,Storage
automatic differentiation,,
renewable-powered servers,,Energy
energy-efficient computing architectures,,Energy
mpi collectives,,Network
data storage systems,,Storage
sparse matrix,,
big-data and infiniband,,
fixed-parameter algorithms,,
mobile and wireless networking,,Network
seeing through walls,,
distributed sytems,Distributed Systems,Concurrency
computing and communication for development,,
distributed / cloud systems,,Cloud
system/software verification,,
network architecure,,Network
network services,,Network
combinatorial optimization and algorithms,,
cps,,
content delivery,,
big data processing systems,,Data
anti-spoofing,,
electronic commerce,,
computer networking and communications,,Network
p4,,
internet modeling,,Benchmark
sat/smt solvers,,
web performance,,Benchmark
world wide web,,
icn,,
networking monitoring,,Network
sparse recovery,,
high availability,,
all things networks,,Network
policy-driven networking,,Network
virtual network embedding,,Network
wireless network,,Network
management,,
ipv6,,Network
dynamic code generation,,
heterogeneous architectures and programming,,GPGPU
bioinformatics.,,
multiprocessor architectures,,Architecture
trace visualization,,
asymptotics,,
open source,,
meteorology,,
workflow systems,,
evolutionary learning,,
global optimization,,
teletraffic engineering,,Network
simulación,Simulation,
customisable processors,,Architecture
cs,Computer Science,
distributed control and optimization,,Concurrency
model-checking,,
multiobjective optimization,,
partitionnement,,
parallel programming languages,,Compilers
agile methods,,
parallel design patterns,,Concurrency
network modelling,,Network
parallel programming paradigms,,Concurrency
parallel-in-time integration,,Concurrency
high-performance computing (hpc),High-Performance Computing,HPC
interactive computing,,
computational science & engineering,,HPC
biologia molecular,,
many-core computing,,Concurrency
models and tool for parallel programming,,Compilers
c++,,Compilers
numerical linear  algebra,,
correctness checking,,
multicores,,Concurrency
sw synthesis,,
bioinformática,Bioinformatics,
multimedia distributed systems,,Concurrency
numerical software,,
mobile middleware,,
networked control systems,,Network
multi agent systems,,
startups,,
matrix functions,,
admission control,,
cache simulation,,Benchmark
robust & online optimization,,
nuclear physics,,
delay tolerant networks,,Network
biologia computacional,Computational Biology,HPC
nanoscience,,
multicore programming,,Concurrency
radio astronomy,,
computación paralela,Parallel Computing,Concurrency
network and service management,,Network
informatik,,
maillage,,
map-reduce,,Data
multidimensional scaling,,
similarity search - parallel and distirbuted algorithms,,Concurrency
languages and compilers,,Compilers
géométrie algorithmique,,
scalable statistical computing,,
data storage and i/o systems,,Storage
earth science,,
analysis,,
distributed system and networking,,Concurrency
numerical methods for hyperbolic pdes,,HPC
lock-free,,Concurrency
parallel io & file systems,,Storage
synchronization runtimes,,OS
biochemistry,,
storage i/o,,Storage
scientific dataset,,
computational intelligence,,
may-core,,Concurrency
non-blocking,,Concurrency
model-based design of embedded systems,,
hydrology,,
high-order accurate reconstruction schemes,,
grid compting,,
hpc storage,,Storage
wait-free,,Concurrency
physik,,
visualization and data analytics,,
system software for power and communication systems,,OS
whole-slide microscopy image processing,,
statistical modeling,,
computer-aided diagnosis,,
dtn,,
プログラミング言語,,
parallel large scale data analysis and visualization algorithms,,
terrestrial biogeochemistry,,
high-performance data analytics,,Data
high energy particle and heavy ion physics,,
energy-efficient big data management,,Energy
performance analysis and optimization,,Benchmark
clinical information systems,,
mesoscale meteorology,,
parallel and distributed storage systems,,
many-task computing,,Concurrency
uncertainty visualization,,
design and performance analysis of cyber-physical systems,,
parallel/distributed computing,,Concurrency
electronic medical records,,
fault di,,
parallell i/o,Parallel I/O,Storage
hpc convergence,,HPC
ecological modeling,,
grid,,
large scale distributed systems,,Concurrency
forest ecology,,
ceramics,,
gobal carbon cycle,,
in situ analysis,,
fem,,
computational data analytics,,
multi-core,,Concurrency
climate-carbon cycle feedbacks,,
computer system/network,,
application/software performance engineering,,
bioimage informatics,,
computer/embedded system,,
web applications,,
tracking,,
algorithm acceleration,,
waveform design,,
big statistics,,Data
error resilience,,
graph statistics,,
computer architecture and compiler.,,Architecture
detection,,
data managment,,Data
compiler and applications,,Compilers
automatic tuning,,
gridftp,,
statistical inference for high-dimensional and graph data,,
academic social network,,
stream data analytics,,
optimization methods,,
radar,,
virtual infrastructures for computational science,,
wide-area data transfer,,
peer-to-peer content distribution,,
gpgpu architecture,,GPGPU
optical-computing,,Architecture
programming language design and implementation,,Compilers
distributed-computing,Distributed Computing,Concurrency
content distribution networks,,Network
run time systems,,OS
i/o system and data storage,,Storage
terramechanics,,
online storage,,Storage
software analysis and verification,,
runtimes.,,OS
theory of randomized search heuristics,,
cmt,,Concurrency
networks and search problems,,
power markets,,
turbulence,,
in-memory databases,,DB
high-performance and gpu computing,,GPGPU
discrete event systems,,
scientific computing and scientometrics,,HPC
parallel and high performance computing,,HPC
clocking,,
vlsi algorithms,,Architecture
solvation,,
astornomy,,
data deduplication,,DB
algorithmics,,
epidemic algorithms,,
variability.,,
lock-free data structures,,Concurrency
environmental chemistry,,
healthcare analytics,,
live streaming,,
graph theory and combinatorics,,
communication problems in interconnection networks,,Network
open source cloud and big data technologies,,Cloud
energy and power modeling and analysis,,Benchmark
multi-core embedded systems,,Concurrency
pervasive networks,,Network
network information theory,,Network
routing security,,Security
uncertainty quantification,,
high performance data analytics,,HPC
shared memory programming,,Concurrency
system level design methods,,
censorship resistance,,Security
approximation computing,,
distribued system,Distributed Systems,Concurrency
object detection & recogntion,,
high-performance modeling and simulation,,HPC
iterative linear solvers,,
computational sciences and engineering,,HPC
information hiding,,
broadband access networks,,Network
fluid mechanics / dynamics,,
finite element method,,HPC
low-power microprocessors,,Energy
qca,,
localization,,
multicast,,Network
data locality,,
loop optimization,,Compilers
digital economics,,
dynamic compilers,,Compilers
economics and game theory,,
geometric discrepancies,,
electrical design automation,,
coupled cluster theory,,
gpu reliability,,GPGPU
atomic and molecular physics,,
coarse-graining,,
video codecs,,
compatible discretizations for heterogeneous flows,,
random structures,,
server virtualization,,
multi-scale simulations,,
memory optimization,,
algorithms engineering,,
audio signal processing and coding,,
fault-tolerant algorithms,,
location theory,,
automatic performance tuning,,
stochastic processes.,,
algorithms for graph problems,,
memcached,,Storage
flash memory ssds,,Storage
processor achitecture,,Architecture
theoretical chemistry,,
scheduling on multiprocessors,,OS
large-scale data,,Data
next generation sequencing,,
materials,,
traction,,
sublinear algorithms (property testing streaming algorithms),,
language runtime,,Compilers
quantum monte carlo,,
custom (multi-)processor design,,Architecture
integer arithmetics and geometry,,
interaction of architectures compilers and operating systems,,
electronic structure theory,,
big data programming paradigms and benchmarking,,Data
graph500,,HPC
manufacturing process,,
efficient java communications,,Compilers
computational material science,,
chemistry,,
combinatorial topology,,
visual tracking,,
digital systems,,
systems & network security,,Security
power-aware hpc,,Energy
raid,,Storage
rdma,,Network
dynamic programming,,
thermal-aware computing,,Energy
networked services,,Network
large-scale machine learning,,Data
graph models and algorithms,,
quantum many-body theory,,
cache coherence,,Architecture
aeroacoustics,,
cryptography-security,,Security
applications,,
energy-efficient computing.,,Energy
dynamic algorithms,,
photonics,,
hardware-software-codesign,,
fast algorithms,,
variational inequalities,,
thermostats,,
power-aware high-performance computing,,Energy
wireless sensor network,,
méthodes formelles,,
mpsoc,,
combustion,,
resource allocation and optimization,,OS
energy efficient high performance computing,,Energy
parallel simulation,,Benchmark
redes,Networks,Network
nwchem,,
network topology,,Network
spanning tree,,
floating-point arithmetic,,
directive-based acceleration: openacc,,GPGPU
implicit multiphysics,,
algorithms and computational complexity,,
cybersecurity data analytics,,Security
communication complexity,,Network
high performance computing (mpi pgas),,Network
time series prediction,,
checkpointing,,
astrobiology,,
on-line algorithms,,
hpc networking,,Network
algorithms and complexity,,
multilinear algebra and tensor decompositions,,
"quantum computing (algorithms, self-testing, cryptography)",,
networking protocols,,Network
code transformation tools,,
computational geodynamics,,
wireless comm,,Network
communication systems,,Network
computer architecture and systems,,Architecture
computational neuroscience,,
evolutionary biology,,
finite element analysis,,
mems,,
inverse problems,,
polyhedral model,,
data center reliability,,
computational finance,,
t-theory,,
mobile agents,,
nosql stores,,Storage
visualisation,,
network emulation,,Network
string algorithms,,
computational epidemiology,,
large-scale analytics,,Data
systèmes distribués,Distributed Systems,Concurrency
energy harvesting wireless networks,,
numerical methods,,
graphics,,
low power architecture,,Energy
big networks,,Network
combinatorial and computational geometry,,
algebraic multigrid,,
atomic physics,,
embedded sysytems,,
sparse matrices,,
low power parallel computing on gpus,,Energy
distributed & biological computing,,Concurrency
materials science,,
cybersecurity dynamics,,
system-on-chip (soc) platforms,,Architecture
tensor analysis,,
high pressure,,
knowledge acquisition,,
query complexity,,
da,,
green it,,Energy
molecular clusters,,
performance evaluation and benchmarking,,Benchmark
condensed matter physics,,
computational co-design,,
models of computations,,
complex fluids,,
distributed and cloud computing systems,,Concurrency
random number generation,,
discrete element method,,
co-design,,
parallel programming languages and compilers,,Compilers
