name,gs_email,interest,topic
"Continella, Andrea",@polimi.it,security,Security
"Contrastin, Mistral",@cl.cam.ac.uk,compilers,Compilers
"Contrastin, Mistral",@cl.cam.ac.uk,verification,
"Contrastin, Mistral",@cl.cam.ac.uk,model checking,
"Conway, Alex",@rutgers.edu,external memory,
"Conway, Alex",@rutgers.edu,algorithms,
"Conway, Alex",@rutgers.edu,file systems,Storage
"Cook, Brandon",@lbl.gov,high-performance computing,HPC
"Cook, Brandon",@lbl.gov,parallel computing,Concurrency
"Cook, Brandon",@lbl.gov,nanoscience,
"Cook, Brandon",@lbl.gov,physics,
"Cook, Brandon",@lbl.gov,computer science,
"Cook, Diane",@eecs.wsu.edu,artificial intelligence,
"Cook, Diane",@eecs.wsu.edu,machine learning,Data
"Cook, Diane",@eecs.wsu.edu,smart environments,
"Coppens, Bart",@elis.ugent.be,security,Security
"Cordeiro, Daniel",@usp.br,computer science,
"Cormode, Graham",@warwick.ac.uk,algorithms,
"Cormode, Graham",@warwick.ac.uk,data analysis,Data
"Corner, Mark",@cs.umass.edu,mobile systems,
"Corner, Mark",@cs.umass.edu,energy management,Energy
"Corner, Mark",@cs.umass.edu,operating systems,OS
"Corner, Mark",@cs.umass.edu,file systems,Storage
"Corporaal, Henk",@tue.nl,computer architecture,Architecture
"Corporaal, Henk",@tue.nl,real-time embedded systems,
"Corporaal, Henk",@tue.nl,processor design,Architecture
"Corporaal, Henk",@tue.nl,parallelization and code generation,Compilers
"Corporaal, Henk",@tue.nl,design for low power,Energy
"Correia, Miguel",@tecnico.ulisboa.pt,distributed systems,Concurrency
"Correia, Miguel",@tecnico.ulisboa.pt,security,Security
"Correia, Miguel",@tecnico.ulisboa.pt,fault tolerance,Security
"Correia, Miguel",@tecnico.ulisboa.pt,cloud computing,Cloud
"Corrigan-Gibbs, Henry",@cs.stanford.edu,security,Security
"Corrigan-Gibbs, Henry",@cs.stanford.edu,applied cryptography,Security
"Corrigan-Gibbs, Henry",@cs.stanford.edu,privacy,Security
"Cortesi, Agostino",@unive.it,static program analysis,
"Cortesi, Agostino",@unive.it,software engineering,
"Cortesi, Agostino",@unive.it,abstract interpretation,
"Cortesi, Agostino",@unive.it,information flow security,Security
"Cortez, Eli",@dcc.ufam.edu.br,databases,DB
"Cortez, Eli",@dcc.ufam.edu.br,world wide web,
"Cortier, Véronique",@loria.fr,security,Security
"Cortier, Véronique",@loria.fr,formal methods,
"Cortés, Toni",@bsc.es,high-performance computing,HPC
"Cortés, Toni",@bsc.es,storage systems,Storage
"Cortés, Toni",@bsc.es,operating systems,OS
"Cortés, Toni",@bsc.es,programming models,Compilers
"Coscia, Michele",@hks.harvard.edu,complex networks,Network
"Coscia, Michele",@hks.harvard.edu,digital humanities,
"Coscia, Michele",@hks.harvard.edu,human mobility,
"Coscia, Michele",@hks.harvard.edu,economic development,
"Coscia, Michele",@hks.harvard.edu,memetics,
"Cosenza, Biagio",@tu-berlin.de,software optimization,
"Cosenza, Biagio",@tu-berlin.de,compilers,Compilers
"Cosenza, Biagio",@tu-berlin.de,high-performance computing,HPC
"Cosenza, Biagio",@tu-berlin.de,parallel algorithms,Concurrency
"Cosenza, Biagio",@tu-berlin.de,gpgpu,GPGPU
"Coskun, Ayse K.",@bu.edu,energy management,Energy
"Coskun, Ayse K.",@bu.edu,thermal management,Energy
"Coskun, Ayse K.",@bu.edu,3d stacked systems,Architecture
"Coskun, Ayse K.",@bu.edu,embedded systems,
"Coskun, Ayse K.",@bu.edu,computer architecture,Architecture
"Costa, Georges Da",@irit.fr,computer science,
"Costa, Georges Da",@irit.fr,energy,Energy
"Costa, Manuel",@microsoft.com,operating systems,OS
"Costa, Manuel",@microsoft.com,networking,Network
"Costa, Manuel",@microsoft.com,programming languages,Compilers
"Costa, Manuel",@microsoft.com,security,Security
"Costa, Paolo",@microsoft.com,networking,Network
"Costa, Paolo",@microsoft.com,distributed systems,Concurrency
"Costa, Pedro A. R. S.",@fc.ul.pt,fault-tolerance systems,
"Costa, Pedro A. R. S.",@fc.ul.pt,security,Security
"Costa, Pedro A. R. S.",@fc.ul.pt,distributed systems,Concurrency
"Costa, Pedro A. R. S.",@fc.ul.pt,cloud computing,Cloud
"Costa, Pedro A. R. S.",@fc.ul.pt,cloud federation,Cloud
"Costa, Timothy B.",@intel.com,numerical analysis,HPC
"Costa, Timothy B.",@intel.com,applied mathematics,
"Costan, Alexandru",@inria.fr,big data management,Data
"Costan, Alexandru",@inria.fr,streaming,
"Costan, Alexandru",@inria.fr,scientific workflows,HPC
"Costan, Alexandru",@inria.fr,multi-site clouds,Cloud
"Coti, Camille",@lipn.univ-paris13.fr,high-performance computing,HPC
"Couch, Sean",@pa.msu.edu,astrophysics,
"Coull, Scott",@fireeye.com,network security,Security
"Coull, Scott",@fireeye.com,traffic analysis,
"Coull, Scott",@fireeye.com,applied cryptography,Security
"Coull, Scott",@fireeye.com,machine learning,Data
"Coull, Scott",@fireeye.com,data mining,Data
"Couteau, Geoffroy",@ens.fr,cryptography,Security
"Couto, Marco",@alunos.uminho.pt,android,
"Couto, Marco",@alunos.uminho.pt,software energy consumption,Energy
"Couto, Marco",@alunos.uminho.pt,software engineering,
"Couto, Marco",@alunos.uminho.pt,software analysis and transformation,
"Couto, Marco",@alunos.uminho.pt,programming languages,Compilers
"Cox, David",@fas.harvard.edu,vision,
"Cox, David",@fas.harvard.edu,neurophysiology,
"Cox, David",@fas.harvard.edu,computer vision,
"Cox, Guilherme",@rutgers.edu,computer architecture,Architecture
"Cox, Guilherme",@rutgers.edu,operating systems,OS
"Cox, Ingemar",@ieee.org,computer vision,
"Cox, Ingemar",@ieee.org,multimedia,
"Cox, Ingemar",@ieee.org,information retrieval,DB
"Cox, Ingemar",@ieee.org,digital watermarking,
"Cox, Landon",@cs.duke.edu,computer systems,
"Crane, Stephen",@uci.edu,security,Security
"Cranor, Lorrie Faith",@cs.cmu.edu,usable privacy and security,Security
"Craswell, Nick",@microsoft.com,information retrieval,DB
"Craswell, Nick",@microsoft.com,web search,
"Cremers, Cas",@cs.ox.ac.uk,information security,Security
"Cremers, Cas",@cs.ox.ac.uk,applied cryptography,Security
"Cremers, Cas",@cs.ox.ac.uk,automated verification,
"Cremilleux, Bruno",@unicaen.fr,data mining,Data
"Crescenzi, Pierluigi",@unifi.it,algorithms and complexity,
"Crispo, Bruno",@kuleuven.be,security,Security
"Crispo, Bruno",@kuleuven.be,privacy,Security
"Cristal, Adrian",@bsc.es,computer architecture,Architecture
"Cristea, Valentin",@cs.pub.ro,distributed systems,Concurrency
"Cristea, Valentin",@cs.pub.ro,service science,
"Cristea, Valentin",@cs.pub.ro,cloud computing,Cloud
"Cristea, Valentin",@cs.pub.ro,e-services,
"Cristofaro, Emiliano De",@ucl.ac.uk,privacy,Security
"Cristofaro, Emiliano De",@ucl.ac.uk,applied cryptography,Security
"Cristofaro, Emiliano De",@ucl.ac.uk,security,Security
"Cristofaro, Emiliano De",@ucl.ac.uk,internet measurement,Benchmark
"Criswell, John",@cs.rochester.edu,security,Security
"Criswell, John",@cs.rochester.edu,compilers,Compilers
"Criswell, John",@cs.rochester.edu,operating systems,OS
"Croft, W. Bruce",@cs.umass.edu,information retrieval,DB
"Crooks, Natacha",@cs.utexas.edu,distributed systems,Concurrency
"Crovella, Mark",@cs.bu.edu,networking,Network
"Crovella, Mark",@cs.bu.edu,computer systems,
"Crovella, Mark",@cs.bu.edu,data mining,Data
"Crovella, Mark",@cs.bu.edu,statistics,
"Crowcroft, Jon",@cl.cam.ac.uk,communications,Network
"Crowcroft, Jon",@cl.cam.ac.uk,computer systems,
"Cudre-Mauroux, Philippe",@unifr.ch,big data,Data
"Cudre-Mauroux, Philippe",@unifr.ch,scientific data,HPC
"Cudre-Mauroux, Philippe",@unifr.ch,graph data,
"Cudre-Mauroux, Philippe",@unifr.ch,emergent semantics,
"Cuevas, Rubén",@it.uc3m.es,privacy,Security
"Cuevas, Rubén",@it.uc3m.es,online advertising,
"Cuevas, Rubén",@it.uc3m.es,internet measurements,Benchmark
"Cuevas, Rubén",@it.uc3m.es,online social networks,
"Cuevas, Rubén",@it.uc3m.es,content distribution,
"Cugola, Gianpaolo",@polimi.it,computer science,
"Cugola, Gianpaolo",@polimi.it,distributed systems,Concurrency
"Cugola, Gianpaolo",@polimi.it,software engineering,
"Cui, Bin",@pku.edu.cn,database,DB
"Cui, Bin",@pku.edu.cn,data analytics,Data
"Cui, Heming",@cs.hku.hk,operating systems,OS
"Cui, Heming",@cs.hku.hk,programming languages,Compilers
"Cui, Heming",@cs.hku.hk,distributed systems,Concurrency
"Cui, Heming",@cs.hku.hk,security,Security
"Cui, Peng",@tsinghua.edu.cn,multimedia,
"Cui, Peng",@tsinghua.edu.cn,data mining,Data
"Cui, Peng",@tsinghua.edu.cn,artificial intelligence,
"Cui, Xiaolong",@cs.pitt.edu,parallel computing,Concurrency
"Cui, Xiaolong",@cs.pitt.edu,distributed systems,Concurrency
"Cui, Xiaolong",@cs.pitt.edu,fault tolerance,Security
"Cui, Xuewen",@vt.edu,high-performance computing,HPC
"Cui, Xuewen",@vt.edu,parallel computing,Concurrency
"Cui, Xuewen",@vt.edu,gpgpu,GPGPU
"Cui, Xuewen",@vt.edu,scheduling,OS
"Cui, Yi",@cse.tamu.edu,web crawling,
"Cui, Yi",@cse.tamu.edu,network measurement,Network
"Cui, Yi",@cse.tamu.edu,graph mining,
"Cui, Yong",@tsinghua.edu.cn,network architecture,Architecture
"Cui, Yong",@tsinghua.edu.cn,mobile computing,
"Culpepper, J. Shane",@rmit.edu.au,information retrieval,DB
"Culpepper, J. Shane",@rmit.edu.au,information discovery,
"Culpepper, J. Shane",@rmit.edu.au,data compression,Network
"Culpepper, J. Shane",@rmit.edu.au,algorithm engineering,
"Cummins, Chris",@ed.ac.uk,machine learning for compilers,Compilers
"Cunha, Italo",@dcc.ufmg.br,computer networks,Network
"Cunha, Italo",@dcc.ufmg.br,distributed systems,Concurrency
"Cunha, Jácome",@fct.unl.pt,software engineering,
"Cunha, Jácome",@fct.unl.pt,programming languages,Compilers
"Cunha, Jácome",@fct.unl.pt,spreadsheet engineering,
"Cunningham, Robert K.",@cunninghamfamily.name,security,Security
"Cunningham, Robert K.",@cunninghamfamily.name,intrusion detection,Security
"Cunningham, Robert K.",@cunninghamfamily.name,machine learning,Data
"Cunningham, Robert K.",@cunninghamfamily.name,image processing,
"Curino, Carlo",@microsoft.com,scaling relational databases,DB
"Curino, Carlo",@microsoft.com,scaling machine learning,Data
"Curino, Carlo",@microsoft.com,hadoop,Data
"Curino, Carlo",@microsoft.com,workload management,Benchmark
"Curmei, Mihaela",@microsoft.com,optimization,
"Curmei, Mihaela",@microsoft.com,statistical machine learning,Data
"Curmei, Mihaela",@microsoft.com,information retrieval,DB
"Curtis-Maury, Matthew",@netapp.com,operating systems,OS
"Curtis-Maury, Matthew",@netapp.com,parallel computing,Concurrency
"Curtsinger, Charlie",@grinnell.edu,computer science,
"Curtsinger, Charlie",@grinnell.edu,performance,
"Curtsinger, Charlie",@grinnell.edu,security,Security
"Curtsinger, Charlie",@grinnell.edu,reliability,Security
"Cutsem, Tom Van",@nokia.com,programming languages,Compilers
"Cutsem, Tom Van",@nokia.com,distributed systems,Concurrency
"Cutsem, Tom Van",@nokia.com,stream processing,
"Cuzzocrea, Alfredo",@si.deis.unical.it,database,DB
"Cuzzocrea, Alfredo",@si.deis.unical.it,data mining,Data
"Cuzzocrea, Alfredo",@si.deis.unical.it,data warehousing,
"Cuzzocrea, Alfredo",@si.deis.unical.it,distributed systems,Concurrency
"Cuzzocrea, Alfredo",@si.deis.unical.it,artificial intelligence,
"Czarnecki, Krzysztof",@gsd.uwaterloo.ca,software engineering,
"Czarnecki, Krzysztof",@gsd.uwaterloo.ca,model-driven engineering,
"Czarnecki, Krzysztof",@gsd.uwaterloo.ca,software product lines,
"Czarnecki, Krzysztof",@gsd.uwaterloo.ca,variability engineering,
"Czumaj, Artur",@warwick.ac.uk,theoretical computer science,
"Czumaj, Artur",@warwick.ac.uk,algorithms,
"Czumaj, Artur",@warwick.ac.uk,data structures,
"Czumaj, Artur",@warwick.ac.uk,discrete mathematics,
"Czyzowicz, Jurek",@uqo.ca,algorithms,
"Czyzowicz, Jurek",@uqo.ca,distributed systems,Concurrency
"Czyzowicz, Jurek",@uqo.ca,mobile agents,
"Czyzowicz, Jurek",@uqo.ca,computational geometry,HPC
"Cárdenas, Miguel",@ciemat.es,machine learning,Data
"Cárdenas, Miguel",@ciemat.es,evolutionary algorithms,
"Cárdenas, Miguel",@ciemat.es,optimization,
"Cárdenas, Miguel",@ciemat.es,parallelization,Concurrency
"D'Antoni, Loris",@cs.wisc.edu,automata theory,
"D'Antoni, Loris",@cs.wisc.edu,verification,
"D'Antoni, Loris",@cs.wisc.edu,programming languages,Compilers
"D'Antoni, Loris",@cs.wisc.edu,personalized education,
"D'Antras, Amanieu",@cs.man.ac.uk,binary translation,
"D'Antras, Amanieu",@cs.man.ac.uk,compilers,Compilers
"D'Souza, Sandeep",@andrew.cmu.edu,real-time systems,OS
"D'Souza, Sandeep",@andrew.cmu.edu,cyber-physical systems,
"Dachman-Soled, Dana",@ece.umd.edu,cryptography,Security
"Dachman-Soled, Dana",@ece.umd.edu,security,Security
"Dachman-Soled, Dana",@ece.umd.edu,computational complexity,
"Dagand, Pierre-Evariste",@lip6.fr,programming languages,Compilers
"Dagand, Pierre-Evariste",@lip6.fr,type theory,
"Dagand, Pierre-Evariste",@lip6.fr,logic,
"Dagand, Pierre-Evariste",@lip6.fr,computer systems,
"Dagenais, Michel",@polymtl.ca,computer engineering,Architecture
"Daglis, Alexandros",@epfl.ch,computer architecture,Architecture
"Dahlin, Mike",@cs.utexas.edu,operating systems,OS
"Dahlin, Mike",@cs.utexas.edu,distributed systems,Concurrency
"Dai, Dong",@ttu.edu,distributed systems,Concurrency
"Dai, Dong",@ttu.edu,high-performance computing,HPC
"Dai, Dong",@ttu.edu,i/o,Storage
"Dai, Dong",@ttu.edu,programming model,
"Dai, Ningwei",@mails.tsinghua.edu.cn,cloud computing,Cloud
"Dai, Wei",@cs.cmu.edu,machine learning,Data
"Dai, Wei",@cs.cmu.edu,statistics,
"Dai, Wei",@cs.cmu.edu,artificial intelligence,
"Dai, Wei",@eng.ucsd.edu,cryptography,Security
"Dai, Weiqi",@hust.edu.cn,云安全，可信计算，虚拟化安全，可信sdn,
"Dai, Yafei",@pku.edu.cn,distributed systems and online social networks,
"Dainotti, Alberto",@caida.org,networking,Network
"Dainotti, Alberto",@caida.org,network measurements,Benchmark
"Dainotti, Alberto",@caida.org,traffic analysis,
"Dainotti, Alberto",@caida.org,network security,Security
"Dalessandro, Luke",@indiana.edu,computer science,
"Dalessandro, Luke",@indiana.edu,parallel programming models and runtimes,Concurrency
"Dalessandro, Luke",@indiana.edu,high-performance computing,HPC
"Dally, William",@stanford.edu,computer architecture,Architecture
"Dally, William",@stanford.edu,high-performance computing,HPC
"Dally, William",@stanford.edu,parallel programming,Concurrency
"Dally, William",@stanford.edu,interconnection networks,Network
"Dally, William",@stanford.edu,computer science,
"Dalton, Jeffrey",@google.com,information retrieval,DB
"Dalton, Jeffrey",@google.com,information extraction,
"Dalton, Jeffrey",@google.com,machine learning,Data
"Dalton, Jeffrey",@google.com,natural language processing,Data
"Dam, Kerstin Kleese Van",@bnl.gov,data management,DB
"Dam, Kerstin Kleese Van",@bnl.gov,analysis and interpretation,
"Dam, Kerstin Kleese Van",@bnl.gov,high-performance computing,HPC
"Damiani, Ernesto",@kustar.ac.ae,service oriented architectures,Architecture
"Damiani, Ernesto",@kustar.ac.ae,web service security,Security
"Damiani, Ernesto",@kustar.ac.ae,web science,
"Damiani, Ernesto",@kustar.ac.ae,web data semantics,Data
"Damiani, Ernesto",@kustar.ac.ae,reputation and trust,
"Damodaran, Raguram",@qti.qualcomm.com,high performance processor design and technology,HPC
"Damoulas, Theo",@warwick.ac.uk,artificial intelligence,
"Damoulas, Theo",@warwick.ac.uk,machine learning,Data
"Damoulas, Theo",@warwick.ac.uk,computational statistics,
"Damoulas, Theo",@warwick.ac.uk,bayesian inference,
"Danalis, Anthony",@eecs.utk.edu,compilers,Compilers
"Danalis, Anthony",@eecs.utk.edu,runtime systems,OS
"Danalis, Anthony",@eecs.utk.edu,system benchmarking,Benchmark
"Danalis, Anthony",@eecs.utk.edu,networking,Network
"Danelutto, Marco",@unipi.it,models and tool for parallel programming,Compilers
"Danelutto, Marco",@unipi.it,parallel design patterns,Concurrency
"Danelutto, Marco",@unipi.it,algorithmic skeletons,
"Danelutto, Marco",@unipi.it,multicores,Concurrency
"Danescu-Niculescu-Mizil, Cristian",@cs.cornell.edu,computational social science,
"Danescu-Niculescu-Mizil, Cristian",@cs.cornell.edu,social computing,
"Danescu-Niculescu-Mizil, Cristian",@cs.cornell.edu,computational linguistics,
"Danescu-Niculescu-Mizil, Cristian",@cs.cornell.edu,natural language processing,Data
"Daneshtalab, Masoud",@kth.se,energy efficiency,Energy
"Daneshtalab, Masoud",@kth.se,reliability,Security
"Daneshtalab, Masoud",@kth.se,reconfigurability and reprogrammability in manycore systems,Architecture
"Danezis, George",@ucl.ac.uk,security,Security
"Danezis, George",@ucl.ac.uk,information security,Security
"Danezis, George",@ucl.ac.uk,privacy,Security
"Danezis, George",@ucl.ac.uk,anonymity,Security
"Danezis, George",@ucl.ac.uk,traffic analysis,
"Dang, Dharanidhar",@tamu.edu,silicon photonics,
"Dang, Dharanidhar",@tamu.edu,network-on-chip,Architecture
"Dang, Dharanidhar",@tamu.edu,computer architecture,Architecture
"Dang, Dharanidhar",@tamu.edu,embedded systems,
"Dang, Hoang-Vu",@illinois.edu,parallel computing,Concurrency
"Dang, Hoang-Vu",@illinois.edu,high-performance computing,HPC
"Dang, Hoang-Vu",@illinois.edu,security,Security
"Dang, Hung",@comp.nus.edu.sg,applied cryptography,Security
"Dang, Hung",@comp.nus.edu.sg,trusted computing,Security
"Dang, Hung",@comp.nus.edu.sg,privacy enhancing technologies,Security
"Dang, Yingnong",@microsoft.com,cloud service,Cloud
"Dang, Yingnong",@microsoft.com,data analytics,Data
"Dang, Yingnong",@microsoft.com,software analytics,
"Dang, Yingnong",@microsoft.com,machine learning,Data
"Dang, Yingnong",@microsoft.com,human-computer interaction,
"Dantu, Karthik",@buffalo.edu,robotics,
"Dantu, Karthik",@buffalo.edu,mobile systems,
"Dantu, Karthik",@buffalo.edu,sensing systems,
"Dantu, Karthik",@buffalo.edu,embedded systems,
"Das, Abhimanyu",,theory,
"Das, Abhimanyu",,machine learning,Data
"Das, Anupam",@cs.cmu.edu,security and privacy,Security
"Das, Anupam",@cs.cmu.edu,privacy-aware systems,Security
"Das, Chita R.",@cse.psu.edu,computer architecture,Architecture
"Das, Chita R.",@cse.psu.edu,interconnection networks,Network
"Das, Chita R.",@cse.psu.edu,fault tolerance,Security
"Das, Chita R.",@cse.psu.edu,heterogeneous architectures,GPGPU
"Das, Gautam",@uta.edu,databases,DB
"Das, Gautam",@uta.edu,data mining,Data
"Das, Gautam",@uta.edu,hidden web,
"Das, Gautam",@uta.edu,social computing,
"Das, Gautam",@uta.edu,algorithms,
"Das, Kamalika",@nasa.gov,data mining,Data
"Das, Kamalika",@nasa.gov,machine learning,Data
"Das, Mahashweta",@visa.com,data mining,Data
"Das, Mahashweta",@visa.com,machine learning,Data
"Das, Mahashweta",@visa.com,databases,DB
"Das, Mahashweta",@visa.com,algorithms,
"Das, Reetuparna",@umich.edu,computer architecture,Architecture
"Das, Samir R.",@cs.stonybrook.edu,wireless networks,Network
"Das, Samir R.",@cs.stonybrook.edu,sensor networks,Network
"Das, Samir R.",@cs.stonybrook.edu,ad hoc networks,Network
"Das, Samir R.",@cs.stonybrook.edu,dynamic spectrum access,
"Das, Shidhartha",,energy-efficient computing,Energy
"Das, Sudipto",@microsoft.com,database systems,DB
"Das, Sudipto",@microsoft.com,distributed systems,Concurrency
"Das, Sudipto",@microsoft.com,cloud computing,Cloud
"Das, Sudipto",@microsoft.com,transaction processing,DB
"Dasgupta, Anirban",@iitgn.ac.in,algorithms,
"Dasgupta, Anirban",@iitgn.ac.in,data mining,Data
"Dasgupta, Anirban",@iitgn.ac.in,social networks,
"Dash, Sajal",@vt.edu,big data analytics,Data
"Dash, Sajal",@vt.edu,high-performance computing,HPC
"Dashti, Mohammad",@epfl.ch,database systems,DB
"Dashti, Mohammad",@epfl.ch,transaction processing,DB
"Dashti, Mohammad",@epfl.ch,compilers,Compilers
"Dasilva, Altigran-Soares",@icomp.ufam.edu.br,databases,DB
"Dasilva, Altigran-Soares",@icomp.ufam.edu.br,information retrieval,DB
"Dasilva, Altigran-Soares",@icomp.ufam.edu.br,web data management,Data
"Dass, Jyotikrishna",@tamu.edu,machine learning,Data
"Dass, Jyotikrishna",@tamu.edu,parallel and distributed systems,Concurrency
"Dass, Jyotikrishna",@tamu.edu,convex optimization,
"Dass, Jyotikrishna",@tamu.edu,big data,Data
"Dass, Jyotikrishna",@tamu.edu,hardware accelerator,GPGPU
"Datta, Ajoy K.",@unlv.edu,distributed systems,Concurrency
"Datta, Ajoy K.",@unlv.edu,self-stabilization,
"Datta, Ajoy K.",@unlv.edu,fault-tolerance,Security
"Datta, Anupam",@cmu.edu,security,Security
"Datta, Anupam",@cmu.edu,privacy,Security
"Datta, Anupam",@cmu.edu,programming languages,Compilers
"Dau, Hoang Anh",@ucr.edu,data mining,Data
"Dautenhahn, Nathan",@cis.upenn.edu,systems security,Security
"Davatzikos, Christos",@rad.upenn.edu,medical image analysis,
"Davatzikos, Christos",@rad.upenn.edu,pattern recognition in medical imaging,
"Dave, Ankur",@eecs.berkeley.edu,computer systems,
"Dave, Ankur",@eecs.berkeley.edu,databases,DB
"Davi, Lucas",@uni-due.de,system security,Security
"David, Yaniv",@cs.technion.ac.il,static analysis,Compilers
"David, Yaniv",@cs.technion.ac.il,security.,
"Davidson, Ian",@cs.ucdavis.edu,data mining,Data
"Davidson, Ian",@cs.ucdavis.edu,machine learning,Data
"Davidson, Ian",@cs.ucdavis.edu,artificial intelligence,
"Davidson, Susan",@cis.upenn.edu,databases,DB
"Davidson, Susan",@cis.upenn.edu,bioinformatics,HPC
"Davidson, Susan",@cis.upenn.edu,workflows,
"Davidson, Susan",@cis.upenn.edu,provenance,DB
"Davis, Brooks",@one-eyed-alien.net,security,Security
"Davis, Brooks",@one-eyed-alien.net,operating systems,OS
"Davis, Brooks",@one-eyed-alien.net,networking,Network
"Davis, James",@vt.edu,software correctness,
"Davis, James",@vt.edu,event-driven programming,
"Davis, James",@vt.edu,distributed systems,Concurrency
"Davis, Kei",@lanl.gov,high-performance computing,HPC
"Davis, Kei",@lanl.gov,functional programming,Compilers
"Davis, Kei",@lanl.gov,programming languages and systems,Compilers
"Davis, Kei",@lanl.gov,computational co-design,
"Davison, Brian",@cse.lehigh.edu,data science,Data
"Davison, Brian",@cse.lehigh.edu,web mining,
"Davison, Brian",@cse.lehigh.edu,information retrieval,DB
"Davison, Brian",@cse.lehigh.edu,social networks,
"Davison, Brian",@cse.lehigh.edu,web search,
"Davulcu, Hasan",@asu.edu,data mining,Data
"Davulcu, Hasan",@asu.edu,web services,
"Davulcu, Hasan",@asu.edu,database systems,DB
"Davulcu, Hasan",@asu.edu,information extraction,
"Dayarathna, Miyuru",@wso2.com,stream computing,
"Dayarathna, Miyuru",@wso2.com,graph data management and mining,
"Dayarathna, Miyuru",@wso2.com,graph algorithms,HPC
"Dayarathna, Miyuru",@wso2.com,cloud computing,Cloud
"Dayarathna, Miyuru",@wso2.com,high-performance computing,HPC
"De, Swades",@ee.iitd.ac.in,communication networks,Network
"De, Swades",@ee.iitd.ac.in,resource allocation and optimization,OS
"De, Swades",@ee.iitd.ac.in,energy harvesting wireless networks,
"De, Swades",@ee.iitd.ac.in,broadband access networks,Network
"Dean, Jeffrey",@google.com,distributed systems,Concurrency
"Dean, Jeffrey",@google.com,information retrieval,DB
"Dean, Jeffrey",@google.com,machine learning,Data
"Dean, Jeffrey",@google.com,compilers,Compilers
"Dean, Jeffrey",@google.com,computer architecture,Architecture
"Debardeleben, Nathan",@lanl.gov,resilience,Security
"Debardeleben, Nathan",@lanl.gov,reliability,Security
"Debardeleben, Nathan",@lanl.gov,dependable computing,
"Debardeleben, Nathan",@lanl.gov,fault tolerance,Security
"Debardeleben, Nathan",@lanl.gov,high-performance computing,HPC
"Debbabi, Mourad",@ciise.concordia.ca,cyber security and cyber forensics,Security
"Dechev, Damian",@eecs.ucf.edu,multicore computing,Concurrency
"Deelman, Ewa",@isi.edu,distributed systems,Concurrency
"Deelman, Ewa",@isi.edu,cloud computing,Cloud
"Deelman, Ewa",@isi.edu,workflow management,
"Defago, Xavier",@c.titech.ac.jp,distributed systems,Concurrency
"Defago, Xavier",@c.titech.ac.jp,distributed algorithms,Concurrency
"Defago, Xavier",@c.titech.ac.jp,cooperative robotics,
"Defago, Xavier",@c.titech.ac.jp,fault-tolerance,Security
"Dehghani, Mostafa",@uva.nl,information retrieval,DB
"Dehne, Frank",@scs.carleton.ca,carleton university,
"Dehne, Frank",@scs.carleton.ca,ottawa,
"Dehne, Frank",@scs.carleton.ca,canada,
"Delicato, Flavia",@dcc.ufrj.br,wireless sensor networks,Network
"Delicato, Flavia",@dcc.ufrj.br,internet of things,
"Delicato, Flavia",@dcc.ufrj.br,middleware,OS
"Delicato, Flavia",@dcc.ufrj.br,adaptive systems,
"Deligiannis, Pantazis",@imperial.ac.uk,programming language design,Compilers
"Deligiannis, Pantazis",@imperial.ac.uk,software reliability,Security
"Deligiannis, Pantazis",@imperial.ac.uk,concurrency,Concurrency
"Deligiannis, Pantazis",@imperial.ac.uk,static/dynamic program analysis,
"Delignat-Lavaud, Antoine",@microsoft.com,security,Security
"Delignat-Lavaud, Antoine",@microsoft.com,programming languages,Compilers
"Delignat-Lavaud, Antoine",@microsoft.com,cryptographic protocols,Security
"Delignat-Lavaud, Antoine",@microsoft.com,software verification,
"Delimitrou, Christina",@cornell.edu,computer architecture,Architecture
"Delimitrou, Christina",@cornell.edu,datacenter systems,Cloud
"Dell’Amico, Matteo",@linux.it,algorithms,
"Dell’Amico, Matteo",@linux.it,distributed systems,Concurrency
"Dell’Amico, Matteo",@linux.it,security,Security
"Delmelle, Eric",@uncc.edu,gis,
"Delmelle, Eric",@uncc.edu,space-time modeling,
"Delmelle, Eric",@uncc.edu,epidemiology,
"Delmelle, Eric",@uncc.edu,uncertainty,
"Demartini, Gianluca",@cs.berkeley.edu,information retrieval,DB
"Demartini, Gianluca",@cs.berkeley.edu,semantic web,Data
"Demartini, Gianluca",@cs.berkeley.edu,human computation,
"Demartini, Gianluca",@cs.berkeley.edu,crowdsourcing,
"Demassey, Sophie",@mines-paristech.fr,combinatorial optimization,HPC
"Demassey, Sophie",@mines-paristech.fr,constraint programming,
"Demassey, Sophie",@mines-paristech.fr,mathematical programming,
"Demeester, Thomas",@intec.ugent.be,electromagnetics,
"Demeester, Thomas",@intec.ugent.be,transmission line modeling,
"Demeester, Thomas",@intec.ugent.be,information retrieval,DB
"Demeester, Thomas",@intec.ugent.be,natural language processing,Data
"Demertzis, Ioannis",@umd.edu,applied cryptography,Security
"Demertzis, Ioannis",@umd.edu,secure databases,Security
"Demiriz, Ayhan",@gtu.edu.tr,machine learning,Data
"Demiriz, Ayhan",@gtu.edu.tr,optimization,
"Demiriz, Ayhan",@gtu.edu.tr,data mining,Data
"Demke-Brown, Angela",@cs.toronto.edu,operating systems,OS
"Demke-Brown, Angela",@cs.toronto.edu,compilers,Compilers
"Demke-Brown, Angela",@cs.toronto.edu,file systems,Storage
"Demmler, Daniel",@crisp-da.de,security,Security
